2020-04-26 13:51:12,550 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - No active profile set, falling back to default profiles: default
2020-04-26 13:51:13,115 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - Started AuditorApplication in 1.193 seconds (JVM running for 1.897)
2020-04-26 13:51:13,138 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.aspects.AuditAspect - Entering >> motka.abhishek.auditor.TestObject.print Arguments: arg0=motka.abhishek.auditor.Modal@50468873[hello=0,valid=true,world=1]&
2020-04-26 13:51:50,671 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - Starting AuditorApplication on IMLMDVABHISHEKPA with PID 21351 (/Users/abhishek.pa/work/auditor/target/classes started by abhishek.pa in /Users/abhishek.pa/work/auditor)
2020-04-26 13:51:50,676 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - No active profile set, falling back to default profiles: default
2020-04-26 13:51:51,424 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - Started AuditorApplication in 1.208 seconds (JVM running for 2.199)
2020-04-26 13:57:16,961 IMLMDVABHISHEKPA WARN  RMI TCP Connection(2)-192.168.43.185 javax.management.remote.misc - The server has decided to close this client connection.
2020-04-26 13:57:16,972 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.aspects.AuditAspect - Entering >> motka.abhishek.auditor.TestObject.print Arguments: arg0=motka.abhishek.auditor.Modal@e8fadb0[hello=0,valid=true,world=1]&
2020-04-26 13:57:21,585 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - Starting AuditorApplication on IMLMDVABHISHEKPA with PID 21457 (/Users/abhishek.pa/work/auditor/target/classes started by abhishek.pa in /Users/abhishek.pa/work/auditor)
2020-04-26 13:57:21,588 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - No active profile set, falling back to default profiles: default
2020-04-26 13:57:22,025 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - Started AuditorApplication in 0.777 seconds (JVM running for 1.714)
2020-04-26 14:07:03,965 IMLMDVABHISHEKPA WARN  RMI TCP Connection(2)-192.168.43.185 javax.management.remote.misc - The server has decided to close this client connection.
2020-04-26 14:07:03,990 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.aspects.AuditAspect - Entering >> motka.abhishek.auditor.TestObject.print Arguments: arg0=motka.abhishek.auditor.Modal@2bc12da[hello=0,valid=true,world=1]&
2020-04-26 14:07:08,063 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - Starting AuditorApplication on IMLMDVABHISHEKPA with PID 22946 (/Users/abhishek.pa/work/auditor/target/classes started by abhishek.pa in /Users/abhishek.pa/work/auditor)
2020-04-26 14:07:08,067 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - No active profile set, falling back to default profiles: default
2020-04-26 14:07:08,487 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - Started AuditorApplication in 0.798 seconds (JVM running for 1.413)
2020-04-26 14:07:08,506 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.aspects.AuditAspect - Entering >> motka.abhishek.auditor.TestObject.print Arguments: arg0=motka.abhishek.auditor.Modal@4758820d[hello=0,valid=true,world=1]&
2020-04-26 14:07:38,383 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - Starting AuditorApplication on IMLMDVABHISHEKPA with PID 22953 (/Users/abhishek.pa/work/auditor/target/classes started by abhishek.pa in /Users/abhishek.pa/work/auditor)
2020-04-26 14:07:38,386 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - No active profile set, falling back to default profiles: default
2020-04-26 14:07:38,794 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - Started AuditorApplication in 0.658 seconds (JVM running for 1.188)
2020-04-26 14:08:04,541 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - Starting AuditorApplication on IMLMDVABHISHEKPA with PID 23010 (/Users/abhishek.pa/work/auditor/target/classes started by abhishek.pa in /Users/abhishek.pa/work/auditor)
2020-04-26 14:08:04,543 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - No active profile set, falling back to default profiles: default
2020-04-26 14:08:05,046 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - Started AuditorApplication in 0.937 seconds (JVM running for 1.891)
2020-04-26 14:08:05,065 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.aspects.AuditAspect - Entering >> motka.abhishek.auditor.TestObject.print Arguments: arg0=motka.abhishek.auditor.Modal@517d4a0d[hello=0,valid=true,world=1]&
2020-04-26 14:22:55,446 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - Starting AuditorApplication on IMLMDVABHISHEKPA with PID 23247 (/Users/abhishek.pa/work/auditor/target/classes started by abhishek.pa in /Users/abhishek.pa/work/auditor)
2020-04-26 14:22:55,448 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - No active profile set, falling back to default profiles: default
2020-04-26 14:22:55,883 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - Started AuditorApplication in 0.701 seconds (JVM running for 1.306)
2020-04-26 14:22:55,898 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.aspects.AuditAspect - Entering >> motka.abhishek.auditor.TestObject.print Arguments: arg0=motka.abhishek.auditor.Modal@53fd0d10[hello=0,valid=true,world=1]&
